"Plot Title: 1. table nursery. 03/03/22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21258716, SEN S/N: 21258716)","Intensity, Lux (LGR S/N: 21258716, SEN S/N: 21258716)","Coupler Attached (LGR S/N: 21258716)","Coupler Detached (LGR S/N: 21258716)","Host Connected (LGR S/N: 21258716)","Stopped (LGR S/N: 21258716)","End Of File (LGR S/N: 21258716)"
1,03/03/22 01:00:00 PM,26.879,1463.9,,,,,
2,03/03/22 01:10:00 PM,26.879,1722.2,,,,,
3,03/03/22 01:20:00 PM,26.781,1130.2,,,,,
4,03/03/22 01:30:00 PM,26.488,656.6,,,,,
5,03/03/22 01:40:00 PM,26.097,667.4,,,,,
6,03/03/22 01:50:00 PM,26.000,3961.1,,,,,
7,03/03/22 02:00:00 PM,26.195,3788.9,,,,,
8,03/03/22 02:10:00 PM,26.195,6200.0,,,,,
9,03/03/22 02:20:00 PM,26.390,7233.4,,,,,
10,03/03/22 02:30:00 PM,26.585,6544.5,,,,,
11,03/03/22 02:40:00 PM,26.488,1636.1,,,,,
12,03/03/22 02:50:00 PM,26.390,5511.1,,,,,
13,03/03/22 03:00:00 PM,26.390,1044.1,,,,,
14,03/03/22 03:10:00 PM,26.292,11022.3,,,,,
15,03/03/22 03:20:00 PM,26.292,3616.7,,,,,
16,03/03/22 03:30:00 PM,26.292,4477.8,,,,,
17,03/03/22 03:40:00 PM,26.195,2325.0,,,,,
18,03/03/22 03:50:00 PM,26.292,6200.0,,,,,
19,03/03/22 04:00:00 PM,26.390,4822.3,,,,,
20,03/03/22 04:10:00 PM,26.292,5166.7,,,,,
21,03/03/22 04:20:00 PM,26.195,4994.5,,,,,
22,03/03/22 04:30:00 PM,26.195,3272.2,,,,,
23,03/03/22 04:40:00 PM,26.195,3272.2,,,,,
24,03/03/22 04:50:00 PM,26.000,2583.4,,,,,
25,03/03/22 05:00:00 PM,26.000,2411.1,,,,,
26,03/03/22 05:10:00 PM,26.000,818.1,,,,,
27,03/03/22 05:20:00 PM,26.000,1722.2,,,,,
28,03/03/22 05:30:00 PM,26.097,699.7,,,,,
29,03/03/22 05:40:00 PM,26.097,1097.9,,,,,
30,03/03/22 05:50:00 PM,26.097,527.4,,,,,
31,03/03/22 06:00:00 PM,26.000,204.5,,,,,
